commodity,market,unit,month,record_count,monthly_average_price,previous_month_average,absolute_change,percentage_change
Basin,Adjumani (refugee settlement),Unit,2021-03,1,5833.33,,,
Basin,Adjumani (refugee settlement),Unit,2021-09,1,6000.0,5833.33,166.67000000000007,2.8572016326866483
Basin,Adjumani (refugee settlement),Unit,2021-12,1,5272.73,6000.0,-727.2700000000004,-12.121166666666674
Basin,Adjumani (refugee settlement),Unit,2022-06,1,5000.0,5272.73,-272.72999999999956,-5.172462841829557
Basin,Adjumani (refugee settlement),Unit,2022-09,1,5000.0,5000.0,0.0,0.0
Basin,Adjumani (refugee settlement),Unit,2022-12,1,5000.0,5000.0,0.0,0.0
Basin,Adjumani (refugee settlement),Unit,2023-03,1,5500.0,5000.0,500.0,10.0
Basin,Adjumani (refugee settlement),Unit,2023-06,1,5167.0,5500.0,-333.0,-6.054545454545455
Basin,Adjumani (refugee settlement),Unit,2023-09,1,5000.0,5167.0,-167.0,-3.232049545190633
Basin,Adjumani (refugee settlement),Unit,2023-12,1,8000.0,5000.0,3000.0,60.0
Basin,Adjumani (refugee settlement),Unit,2024-03,1,5429.0,8000.0,-2571.0,-32.1375
Basin,Adjumani (refugee settlement),Unit,2024-06,1,5000.0,5429.0,-429.0,-7.902007736231351
Basin,Adjumani (refugee settlement),Unit,2024-09,1,5819.0,5000.0,819.0,16.38
Basin,Adjumani (refugee settlement),Unit,2024-12,1,5416.0,5819.0,-403.0,-6.925588589104657
Basin,Adjumani (refugee settlement),Unit,2025-03,1,5000.0,5416.0,-416.0,-7.680945347119645
Basin,Adjumani (refugee settlement),Unit,2025-06,1,5000.0,5000.0,0.0,0.0
Basin,Adjumani (refugee settlement),Unit,2025-09,1,5000.0,5000.0,0.0,0.0
Basin,Adjumani (refugee settlement),Unit,2025-12,1,5000.0,5000.0,0.0,0.0
Basin,Adjumani (refugee settlement),Unit,2026-03,1,5140.0,5000.0,140.0,2.8000000000000003
Basin,Adjumani (refugee settlement),Unit,2026-06,1,5000.0,5140.0,-140.0,-2.7237354085603114
Basin,Bidibidi (refugee settlement),Unit,2021-03,1,4875.0,,,
Basin,Bidibidi (refugee settlement),Unit,2021-09,1,4875.0,4875.0,0.0,0.0
Basin,Bidibidi (refugee settlement),Unit,2022-03,1,5000.0,4875.0,125.0,2.564102564102564
Basin,Bidibidi (refugee settlement),Unit,2022-04,1,5000.0,5000.0,0.0,0.0
Basin,Bidibidi (refugee settlement),Unit,2022-05,1,5000.0,5000.0,0.0,0.0
Basin,Bidibidi (refugee settlement),Unit,2022-09,1,5063.0,5000.0,63.0,1.26
Basin,Bidibidi (refugee settlement),Unit,2022-12,1,6000.0,5063.0,937.0,18.506814141813155
