commodity,market,unit,month,record_count,monthly_average_price,previous_month_average,absolute_change,percentage_change
Maize (white),Gulu,KG,2021-07,1,1086.0,2.0,1084.0,54200.0
Beans,Lira,KG,2022-03,2,2333.895,143.82,2190.075,1522.7889027951605
Leafy vegetables,Palorinya (refugee settlement),KG,2026-05,1,26111.0,2429.0,23682.0,974.9691230959243
Charcoal,Palabek (refugee settlement),KG,2023-06,1,6167.0,608.0,5559.0,914.3092105263157
Rope,Rhino Camp (refugee settlement),Unit,2025-09,1,2250.0,256.0,1994.0,778.90625
Sorghum,Masaka,KG,2025-05,1,4000.0,499.0,3501.0,701.6032064128257
Cassava (fresh),Palabek (refugee settlement),KG,2023-01,1,649.0,100.0,549.0,549.0
Rope,Imvepi (refugee settlement),Unit,2022-03,1,3000.0,500.0,2500.0,500.0
Rope,Imvepi (refugee settlement),Unit,2025-09,1,1500.0,267.0,1233.0,461.7977528089888
Sorghum,Karita,KG,2022-04,1,2750.0,500.0,2250.0,450.0
Leafy vegetables,Palorinya (refugee settlement),KG,2024-05,1,2574.0,500.0,2074.0,414.79999999999995
Firewood,Palabek (refugee settlement),KG,2022-08,1,2000.0,400.0,1600.0,400.0
Leafy vegetables,Oruchinga (refugee settlement),KG,2024-05,1,2500.0,500.0,2000.0,400.0
Leafy vegetables,Imvepi (refugee settlement),KG,2023-05,1,7667.0,1548.0,6119.0,395.2842377260982
Charcoal,Palabek (refugee settlement),KG,2023-08,1,2427.0,508.0,1919.0,377.755905511811
Leafy vegetables,Rwamwanja (refugee settlement),KG,2025-10,1,2857.0,606.0,2251.0,371.45214521452147
Leafy vegetables,Lobule (refugee settlement),KG,2023-10,1,3333.0,714.3,2618.7,366.6106677866443
Cassava (fresh),Lobule (refugee settlement),KG,2025-09,1,1818.0,398.0,1420.0,356.78391959798995
Batteries,Adjumani (refugee settlement),Pair,2022-03,1,9000.0,2000.0,7000.0,350.0
Leafy vegetables,Rwamwanja (refugee settlement),KG,2025-04,1,2857.0,640.0,2217.0,346.40625
Charcoal,Lobule (refugee settlement),KG,2022-04,1,1428.57,322.58,1105.99,342.85758571517147
Cassava (fresh),Oruchinga (refugee settlement),KG,2022-07,1,2500.0,576.0,1924.0,334.02777777777777
Leafy vegetables,Lobule (refugee settlement),KG,2023-08,1,2500.0,588.0,1912.0,325.1700680272109
Wooden mingle,Bidibidi (refugee settlement),Unit,2026-03,1,3500.0,842.0,2658.0,315.6769596199525
Plantains,Owino,KG,2012-10,2,3541.75,858.5,2683.25,312.5509609784508
Cassava (fresh),Rhino Camp (refugee settlement),KG,2025-09,1,1145.0,284.0,861.0,303.16901408450707
Cassava flour,Makaratin,KG,2025-04,1,2000.0,500.0,1500.0,300.0
Jerrycan (5L),Adjumani (refugee settlement),Unit,2023-12,1,4000.0,1000.0,3000.0,300.0
Mug (plastic),Lobule (refugee settlement),Unit,2023-06,1,2000.0,500.0,1500.0,300.0
Rope,Adjumani (refugee settlement),Unit,2021-12,1,2000.0,500.0,1500.0,300.0
Firewood,Rhino Camp (refugee settlement),KG,2022-03,1,348.0,89.0,259.0,291.0112359550562
Leafy vegetables,Oruchinga (refugee settlement),KG,2021-04,1,1894.0,500.0,1394.0,278.79999999999995
Firewood,Palabek (refugee settlement),KG,2023-09,1,1750.0,478.0,1272.0,266.10878661087867
Laundry soap,Lobule (refugee settlement),KG,2022-03,1,7250.0,2000.0,5250.0,262.5
Oil (vegetable),Mbale,L,2020-02,1,5250.0,1466.67,3783.33,257.95373192333653
Jerrycan (5L),Nakivale (refugee settlement),Unit,2023-03,1,8000.0,2250.0,5750.0,255.55555555555554
Cassava (fresh),Lobule (refugee settlement),KG,2023-03,1,3333.0,945.0,2388.0,252.69841269841268
Fish (dry),Palorinya (refugee settlement),KG,2023-03,1,19722.0,5602.0,14120.0,252.05283827204568
Sorghum,Kapchorwa,KG,2024-08,1,3000.0,857.0,2143.0,250.05834305717622
Firewood,Rhino Camp (refugee settlement),KG,2025-09,1,462.0,132.0,330.0,250.0
Pole,Lobule (refugee settlement),Unit,2022-12,1,7000.0,2000.0,5000.0,250.0
Firewood,Lobule (refugee settlement),KG,2023-08,1,769.0,224.0,545.0,243.30357142857144
Leafy vegetables,Palabek (refugee settlement),KG,2024-05,1,2108.0,625.0,1483.0,237.27999999999997
Leafy vegetables,Palabek (refugee settlement),KG,2023-09,1,4643.0,1428.0,3215.0,225.14005602240897
Mug (plastic),Kyaka II (refugee settlement),Unit,2024-12,1,3250.0,1000.0,2250.0,225.0
Leafy vegetables,Imvepi (refugee settlement),KG,2024-01,1,5000.0,1548.0,3452.0,222.99741602067184
Rope,Kiryandongo (refugee settlement),Unit,2025-06,1,4833.0,1500.0,3333.0,222.2
Cassava (fresh),Bidibidi (refugee settlement),KG,2022-12,1,1429.0,444.0,985.0,221.84684684684686
Leafy vegetables,Lobule (refugee settlement),KG,2021-12,1,3160.0,1000.0,2160.0,216.0
Rope,Adjumani (refugee settlement),Unit,2024-03,1,1571.0,500.0,1071.0,214.2
Leafy vegetables,Imvepi (refugee settlement),KG,2022-07,1,3636.0,1163.0,2473.0,212.63972484952708
Leafy vegetables,Lobule (refugee settlement),KG,2023-02,1,4727.0,1515.0,3212.0,212.013201320132
Leafy vegetables,Kyangwali (refugee settlement),KG,2024-07,1,2560.0,826.0,1734.0,209.9273607748184
Cassava flour,Lira,KG,2025-05,1,2750.0,900.0,1850.0,205.55555555555554
Maize (white),Soroti,KG,2020-01,1,1250.0,412.5,837.5,203.03030303030303
Cassava (fresh),Oruchinga (refugee settlement),KG,2021-10,1,1000.0,333.0,667.0,200.30030030030028
Cassava flour,Lira,KG,2019-10,1,3000.0,1000.0,2000.0,200.0
Exercise Book (48 pages),Bidibidi (refugee settlement),Unit,2022-03,1,1500.0,500.0,1000.0,200.0
Pole,Rhino Camp (refugee settlement),Unit,2022-12,1,6000.0,2000.0,4000.0,200.0
Wooden mingle,Lobule (refugee settlement),Unit,2023-12,1,3000.0,1000.0,2000.0,200.0
Cassava (fresh),Kyangwali (refugee settlement),KG,2021-03,1,1152.0,385.0,767.0,199.22077922077924
Fish (dry),Lobule (refugee settlement),KG,2023-03,1,16667.0,5625.0,11042.0,196.3022222222222
Millet,Arua,KG,2022-05,1,3500.0,1200.0,2300.0,191.66666666666669
Cassava flour,Makaratin,KG,2022-08,1,2333.0,800.0,1533.0,191.625
Wooden mingle,Kiryandongo (refugee settlement),Unit,2025-06,1,2167.0,750.0,1417.0,188.93333333333334
Wooden mingle,Imvepi (refugee settlement),Unit,2026-03,1,3000.0,1039.0,1961.0,188.73917228103946
Firewood,Imvepi (refugee settlement),KG,2024-11,1,500.0,175.0,325.0,185.71428571428572
Wooden mingle,Imvepi (refugee settlement),Unit,2022-09,1,2000.0,700.0,1300.0,185.71428571428572
Millet,Arua,KG,2025-02,1,2283.0,800.0,1483.0,185.375
Laundry soap,Rhino Camp (refugee settlement),KG,2022-03,1,5702.38,2000.0,3702.38,185.119
Cassava flour,Jinja,KG,2013-06,1,1420.0,500.0,920.0,184.0
Fish (dry),Kyangwali (refugee settlement),KG,2021-12,1,32955.0,11628.0,21327.0,183.41073271413828
Cassava (fresh),Palorinya (refugee settlement),KG,2023-01,1,1800.0,638.0,1162.0,182.13166144200628
Charcoal,Lobule (refugee settlement),KG,2023-10,1,2000.0,714.3,1285.7,179.99440011199778
Fish (dry),Palorinya (refugee settlement),KG,2025-04,1,20000.0,7143.0,12857.0,179.99440011199778
Leafy vegetables,Rhino Camp (refugee settlement),KG,2021-11,1,2200.0,800.0,1400.0,175.0
Firewood,Oruchinga (refugee settlement),KG,2025-01,1,500.0,182.0,318.0,174.72527472527472
Leafy vegetables,Palabek (refugee settlement),KG,2025-10,1,3333.0,1220.0,2113.0,173.19672131147541
Firewood,Rwamwanja (refugee settlement),KG,2024-01,1,722.0,266.0,456.0,171.42857142857142
Leafy vegetables,Imvepi (refugee settlement),KG,2025-12,1,3083.0,1136.0,1947.0,171.39084507042253
Leafy vegetables,Rhino Camp (refugee settlement),KG,2023-10,1,2000.0,744.0,1256.0,168.81720430107526
Leafy vegetables,Palorinya (refugee settlement),KG,2021-09,1,1493.0,559.0,934.0,167.08407871198568
Cassava flour,Gulu,KG,2015-12,1,4000.0,1500.0,2500.0,166.66666666666669
Pole,Imvepi (refugee settlement),Unit,2022-03,1,8000.0,3000.0,5000.0,166.66666666666669
Rope,Imvepi (refugee settlement),Unit,2022-09,1,8000.0,3000.0,5000.0,166.66666666666669
Rope,Lobule (refugee settlement),Unit,2022-09,1,2000.0,750.0,1250.0,166.66666666666669
Leafy vegetables,Nakivale (refugee settlement),KG,2024-05,1,1333.0,500.0,833.0,166.6
Wooden mingle,Palorinya (refugee settlement),Unit,2025-06,1,1333.0,500.0,833.0,166.6
Firewood,Lobule (refugee settlement),KG,2024-01,1,391.0,147.0,244.0,165.98639455782313
