commodity,unit,record_count,mean_price,minimum_price,maximum_price
Fish (dry),KG,725,20357.622068965517,4545.0,42500.0
Hoe,Unit,261,11208.162183908047,5000.0,19000.0
Jerrycan (20L),Unit,266,7757.669172932331,5000.0,12000.0
Panga,Unit,251,7746.204462151395,5000.0,15000.0
Oil (vegetable),L,2659,7586.0698194810075,1466.67,12750.0
Pole,Unit,243,7282.677654320987,2000.0,13333.0
Nails,KG,231,7192.281385281385,4889.0,10000.0
Basin,Unit,274,5326.056131386861,4000.0,12500.0
Laundry soap,KG,701,4740.088402282454,2000.0,10666.67
Millet flour,KG,786,4084.8486005089057,1900.0,6800.0
Beans,KG,3222,3132.325443823712,143.82,6678.0
Sanitary pads,Packet,669,2749.894334828102,1000.0,4125.0
Underwear,Unit,675,2697.4014666666667,1000.0,7000.0
Jerrycan (5L),Unit,294,2643.8005782312925,1000.0,8000.0
Millet,KG,1762,2576.687349602724,800.0,6000.0
Rice,KG,195,2447.858256410256,824.04,3939.15
Maize flour,KG,3015,2378.215857379768,575.0,4625.0
Batteries,Pair,264,2043.4381439393942,1000.0,9000.0
Serving spoon,Unit,281,2025.1724911032027,1000.0,5000.0
Leafy vegetables,KG,803,1977.4549190535492,333.0,26111.0
Salt,KG,852,1764.267852112676,999.0,3278.0
Milk (fresh),L,698,1707.7569340974214,1000.0,4000.0
Cassava flour,KG,1916,1705.1529227557412,264.0,6000.0
Sorghum,KG,2825,1661.9838230088494,400.0,4367.0
Rope,Unit,247,1555.9082591093118,256.0,8000.0
Maize (white),KG,2840,1326.7757535211267,2.0,3040.0
Wooden mingle,Unit,295,1189.4661355932203,425.0,3500.0
Plantains,KG,390,1087.495487179487,206.25,6055.67
Torch,Unit,270,1060.4025925925926,500.0,2500.0
Plate (plastic),Unit,293,992.6551877133105,450.0,2000.0
Charcoal,KG,627,952.4508771929824,286.0,6167.0
Mug (plastic),Unit,287,949.5892334494773,500.0,3250.0
Maize,KG,723,767.8252697095436,203.75,1675.34
Cassava (fresh),KG,756,670.066044973545,100.0,3333.0
Exercise Book (48 pages),Unit,268,598.3164552238806,333.33,1625.0
Pen,Unit,279,577.5819713261649,467.0,1000.0
Firewood,KG,696,317.639224137931,89.0,2000.0
Pencil,Unit,276,207.61699275362318,100.0,500.0
