market,commodity,unit,record_count,mean_price,minimum_price,maximum_price
Kyaka II (refugee settlement),Fish (dry),KG,50,27255.3,12500.0,41667.0
Rwamwanja (refugee settlement),Fish (dry),KG,59,25482.830508474577,10886.0,37500.0
Kiryandongo (refugee settlement),Fish (dry),KG,61,25324.67213114754,12262.0,42500.0
Rhino Camp (refugee settlement),Fish (dry),KG,62,21611.532258064515,11273.0,40000.0
Nakivale (refugee settlement),Fish (dry),KG,62,20964.0,10000.0,32500.0
Kyangwali (refugee settlement),Fish (dry),KG,65,20132.923076923078,11628.0,34615.0
Palabek (refugee settlement),Fish (dry),KG,43,19620.093023255813,8194.0,40701.0
Adjumani (refugee settlement),Fish (dry),KG,30,19393.533333333333,10167.0,33194.0
Imvepi (refugee settlement),Fish (dry),KG,45,19026.266666666666,10000.0,33333.0
Oruchinga (refugee settlement),Fish (dry),KG,63,18678.26984126984,5000.0,33333.0
Lobule (refugee settlement),Fish (dry),KG,59,17564.966101694914,5625.0,33333.0
Bidibidi (refugee settlement),Fish (dry),KG,64,17262.5,11583.0,30769.0
Palorinya (refugee settlement),Fish (dry),KG,62,12909.354838709678,4545.0,30000.0
Oruchinga (refugee settlement),Hoe,Unit,17,11917.70588235294,10000.0,18000.0
Imvepi (refugee settlement),Hoe,Unit,22,11683.045454545454,10000.0,15000.0
Rhino Camp (refugee settlement),Hoe,Unit,17,11644.86294117647,10000.0,13444.0
Nakivale (refugee settlement),Hoe,Unit,17,11591.29411764706,9667.0,19000.0
Bidibidi (refugee settlement),Hoe,Unit,21,11549.619047619048,10000.0,12800.0
Rwamwanja (refugee settlement),Hoe,Unit,24,11385.166666666666,9000.0,12000.0
Kyaka II (refugee settlement),Hoe,Unit,24,11327.11125,10000.0,14000.0
Kyangwali (refugee settlement),Hoe,Unit,24,11259.75,5000.0,13000.0
Kiryandongo (refugee settlement),Hoe,Unit,17,11208.274705882353,7916.67,15000.0
Palabek (refugee settlement),Hoe,Unit,16,11101.3125,10000.0,12875.0
Adjumani (refugee settlement),Hoe,Unit,20,10568.3,9750.0,12700.0
Lobule (refugee settlement),Hoe,Unit,20,10361.15,8000.0,12000.0
Palorinya (refugee settlement),Hoe,Unit,22,10275.74181818182,9000.0,15000.0
Rwamwanja (refugee settlement),Pole,Unit,23,9495.739130434782,7000.0,13333.0
Kyangwali (refugee settlement),Oil (vegetable),L,67,8953.01,6444.0,12222.0
Kyaka II (refugee settlement),Pole,Unit,20,8895.0835,7000.0,10400.0
Imvepi (refugee settlement),Jerrycan (20L),Unit,23,8853.608695652174,6000.0,12000.0
Rwamwanja (refugee settlement),Oil (vegetable),L,67,8813.820895522387,6000.0,11800.0
Palabek (refugee settlement),Pole,Unit,16,8792.5625,4750.0,13333.0
Fort Portal,Oil (vegetable),L,48,8734.25,7000.0,11250.0
Palabek (refugee settlement),Jerrycan (20L),Unit,21,8652.666666666666,7000.0,10000.0
Masaka,Oil (vegetable),L,41,8604.869999999999,6600.0,12000.0
Oruchinga (refugee settlement),Panga,Unit,17,8573.529411764706,7000.0,15000.0
Imvepi (refugee settlement),Panga,Unit,21,8437.047619047618,5000.0,10000.0
Palabek (refugee settlement),Oil (vegetable),L,65,8409.190923076923,6000.0,10714.0
Kasese,Oil (vegetable),L,39,8384.128205128205,7000.0,10800.0
Mukono,Oil (vegetable),L,37,8372.432432432432,7125.0,11000.0
Kiryandongo (refugee settlement),Jerrycan (20L),Unit,23,8260.08695652174,6000.0,12000.0
Tororo,Oil (vegetable),L,44,8253.318181818182,7000.0,10500.0
Oruchinga (refugee settlement),Oil (vegetable),L,67,8188.268656716418,5833.0,12500.0
Hoima,Oil (vegetable),L,52,8167.557692307692,7000.0,10000.0
Kyaka II (refugee settlement),Oil (vegetable),L,67,8157.0347761194025,6400.0,11563.0
Nakivale (refugee settlement),Oil (vegetable),L,67,8112.44776119403,5917.0,12600.0
Jinja,Oil (vegetable),L,50,8045.06,7000.0,10333.0
Adjumani (refugee settlement),Oil (vegetable),L,67,7973.854179104477,6775.0,10769.0
Rhino Camp (refugee settlement),Panga,Unit,17,7964.764705882353,7333.0,9333.0
Soroti,Oil (vegetable),L,49,7959.463469387755,5200.0,10000.0
Bidibidi (refugee settlement),Panga,Unit,21,7905.301428571428,7200.0,9250.0
Adjumani (refugee settlement),Panga,Unit,11,7889.636363636364,6000.0,10000.0
Kyangwali (refugee settlement),Jerrycan (20L),Unit,12,7879.805833333333,6000.0,10000.0
Karenga,Oil (vegetable),L,40,7874.319,7000.0,10000.0
Palabek (refugee settlement),Panga,Unit,16,7864.6875,5000.0,9333.0
Kyangwali (refugee settlement),Pole,Unit,23,7815.217391304348,5250.0,10000.0
Kiryandongo (refugee settlement),Oil (vegetable),L,41,7774.048780487805,5667.0,10667.0
Nakivale (refugee settlement),Panga,Unit,17,7756.176470588235,7000.0,12500.0
Rwamwanja (refugee settlement),Jerrycan (20L),Unit,24,7752.541666666667,6000.0,11000.0
Kiryandongo (refugee settlement),Panga,Unit,17,7735.313529411764,6000.0,11333.0
Oruchinga (refugee settlement),Jerrycan (20L),Unit,15,7677.733333333334,6000.0,10000.0
Oruchinga (refugee settlement),Pole,Unit,16,7671.875,6000.0,10000.0
Owino,Oil (vegetable),L,121,7662.30305785124,4967.0,12750.0
Palorinya (refugee settlement),Jerrycan (20L),Unit,23,7635.796956521738,5500.0,10667.0
Adjumani (refugee settlement),Nails,KG,20,7623.416499999999,5500.0,8667.0
Kyangwali (refugee settlement),Panga,Unit,24,7621.860833333333,5000.0,10000.0
Bidibidi (refugee settlement),Jerrycan (20L),Unit,23,7620.652173913043,6375.0,9333.0
Lobule (refugee settlement),Oil (vegetable),L,67,7610.507462686567,5880.0,10333.0
Wakiso,Oil (vegetable),L,37,7608.5675675675675,6250.0,10000.0
Mbarara,Oil (vegetable),L,127,7594.994724409448,5000.0,10429.0
Imvepi (refugee settlement),Nails,KG,17,7594.470588235294,6000.0,10000.0
Lobule (refugee settlement),Panga,Unit,20,7581.1,6000.0,10000.0
Palorinya (refugee settlement),Panga,Unit,22,7542.409090909091,6500.0,8333.0
Kaabong,Oil (vegetable),L,82,7526.134146341464,5000.0,10500.0
Palorinya (refugee settlement),Nails,KG,19,7518.123157894736,7000.0,8667.0
